Model,Maker,Type,Seats,Displacement,Length,Width,Height,Wheelbase,No_of_Cylinders,Fuel,Engine Type,Transmission,Drive,Fuel Tank Capacity,Boot Space,Fuel Efficiency,Emission Type,Tyre Size,Engine Size,Horsepower
Fortuner,Toyota,SUV,7,2755.0,4795,1855,1835,2745,4.0,Diesel,2.8L Diesel,6 AT,4WD,80.0,296.0,14.2,BS VI,265/60 R18,2.755,200
Fortuner,Toyota,SUV,7,2755.0,4795,1855,1835,2745,4.0,Diesel,2.8L Diesel,6 MT with iMT,2WD,80.0,296.0,14.2,BS VI,265/65 R17,2.755,200
Fortuner,Toyota,SUV,7,2755.0,4795,1855,1835,2745,4.0,Diesel,2.8L Diesel,6 AT,2WD,80.0,296.0,14.2,BS VI,265/65 R17,2.755,200
Fortuner,Toyota,SUV,7,2694.0,4795,1855,1835,2745,4.0,Petrol,2.7L Petrol,5 MT,2WD,80.0,296.0,14.2,BS VI,265/65 R17,2.694,200
Fortuner,Toyota,SUV,7,2694.0,4795,1855,1835,2745,4.0,Petrol,2.7L Petrol,6 AT,2WD,80.0,296.0,14.2,BS VI,265/65 R17,2.694,200
Glanza,Toyota,Hatchback,5,1197.0,3990,1745,1500,2520,4.0,Petrol,K12 N,MT,2WD,37.0,318.0,22.35,BS VI,185/65 R16,1.197,110
Glanza,Toyota,Hatchback,5,1197.0,3990,1745,1500,2520,4.0,Petrol,K12 N,AMT,2WD,37.0,318.0,22.94,BS VI,185/65 R16,1.197,110
Grand i10 Nios,Hyundai,Hatchback,5,1197.0,3805,1680,1520,2450,4.0,Petrol,1.2L Kappa,5 MT,2WD,37.0,260.0,21.0,BS VI,175/60 R15,1.197,110
Grand i10 Nios,Hyundai,Hatchback,5,1197.0,3805,1680,1520,2450,4.0,Petrol,1.2L Kappa,AMT,2WD,37.0,260.0,21.0,BS VI,175/60 R15,1.197,110
Grand i10 Nios,Hyundai,Hatchback,5,1197.0,3805,1680,1520,2450,4.0,Petrol + CNG,1.2L Kappa,5 MT,2WD,37.0,260.0,22.0,BS VI,175/60 R15,1.197,110
Grand i10 Nios,Hyundai,Hatchback,5,998.0,3805,1680,1520,2450,4.0,Petrol,1.0L Turbo GDi,5 MT,2WD,37.0,260.0,21.0,BS VI,175/60 R15,0.998,75
i20,Hyundai,Hatchback,5,1197.0,3995,1775,1505,2580,4.0,Petrol,1.2L Kappa,5 MT,2WD,37.0,326.0,20.35,BS VI,195/55 R16,1.197,110
i20,Hyundai,Hatchback,5,1197.0,3995,1775,1505,2580,4.0,Petrol,1.2L Kappa,IVT,2WD,37.0,326.0,19.65,BS VI,195/55 R16,1.197,110
i20,Hyundai,Hatchback,5,998.0,3995,1775,1505,2580,4.0,Petrol,1.0L Turbo GDi,7 DCT,2WD,37.0,326.0,20.25,BS VI,195/55 R16,0.998,75
i20,Hyundai,Hatchback,5,998.0,3995,1775,1505,2580,4.0,Petrol,1.0L Turbo GDi,iMT,2WD,37.0,326.0,20.25,BS VI,195/55 R16,0.998,75
i20,Hyundai,Hatchback,5,1493.0,3995,1775,1505,2580,4.0,Diesel,1.5L U2,6 MT,2WD,37.0,326.0,25.2,BS VI,195/55 R16,1.493,110
i20 N-Line,Hyundai,Hatchback,5,998.0,3995,1775,1505,2580,4.0,Petrol,1.0L Turbo Gdi,7 DCT,2WD,37.0,326.0,20.25,BS VI,195/55 R16,0.998,75
i20 N-Line,Hyundai,Hatchback,5,998.0,3995,1775,1505,2580,4.0,Petrol,1.0L Turbo Gdi,iMT,2WD,37.0,326.0,20.25,BS VI,195/55 R16,0.998,75
Verna,Hyundai,Sedan,5,1497.0,4440,1729,1475,2600,4.0,Petrol,1.5L Mpi,6 MT,2WD,45.0,480.0,17.7,BS VI,195/55 R16,1.497,110
Verna,Hyundai,Sedan,5,1497.0,4440,1729,1475,2600,4.0,Petrol,1.5L Mpi,IVT,2WD,45.0,480.0,18.4,BS VI,195/55 R16,1.497,110
Verna,Hyundai,Sedan,5,1493.0,4440,1729,1475,2600,4.0,Diesel,1.5L U2 CRDi,6 MT,2WD,45.0,480.0,25.0,BS VI,195/55 R16,1.493,110
Verna,Hyundai,Sedan,5,1493.0,4440,1729,1475,2600,4.0,Diesel,1.5L U2 CRDi,6 AT,2WD,45.0,480.0,21.3,BS VI,195/55 R16,1.493,110
Verna,Hyundai,Sedan,5,998.0,4440,1729,1475,2600,4.0,Petrol,1.0L Turbo GDi,DCT,2WD,45.0,480.0,19.2,BS VI,195/55 R16,0.998,75
Aura,Hyundai,Compact Sedan,5,1197.0,3995,1680,1520,2450,4.0,Petrol,1.2L Kappa,5 MT,2WD,37.0,402.0,21.0,BS VI,175/60 R15,1.197,110
Aura,Hyundai,Compact Sedan,5,1197.0,3995,1680,1520,2450,4.0,Petrol,1.2L Kappa,AMT,2WD,37.0,402.0,20.0,BS VI,175/60 R15,1.197,110
Aura,Hyundai,Compact Sedan,5,998.0,3995,1680,1520,2450,4.0,Petrol,1.0L Turbo GDi,5 MT,2WD,37.0,402.0,21.0,BS VI,175/60 R15,0.998,75
Aura,Hyundai,Compact Sedan,5,1197.0,3995,1680,1520,2450,4.0,Petrol + CNG,1.2L Bi-Fuel (Petrol with CNG),5 MT,2WD,37.0,402.0,28.0,BS VI,175/60 R15,1.197,110
Tucson,Hyundai,SUV,5,1999.0,4630,1865,1665,2755,4.0,Petrol,Nu 2.0 Petrol,6 AT,2WD,54.0,540.0,,BS VI,235/60 R18,1.999,150
Tucson,Hyundai,SUV,5,1997.0,4630,1865,1665,2755,4.0,Diesel,R 2.0 Diesel,8 AT,2WD,54.0,540.0,12.95,BS VI,235/60 R18,1.997,150
Tucson,Hyundai,SUV,5,1997.0,4630,1865,1665,2755,4.0,Diesel,R 2.0 Diesel,8 AT,4WD,54.0,540.0,16.38,BS VI,235/60 R18,1.997,150
Kona Electric,Hyundai,SUV,5,,4180,1800,1570,2600,,Electric,Permanent magnet synchronous motor (PMSM),,2WD,,332.0,,,215/55 R17,,200
Venue,Hyundai,Compact SUV,5,1197.0,3995,1770,1617,2500,4.0,Petrol,1.2L Kappa,5 MT,2WD,45.0,350.0,17.5,BS VI,195/65 R15,1.197,110
Venue,Hyundai,Compact SUV,5,998.0,3995,1770,1617,2500,4.0,Petrol,1.0L Kappa Turbo GDi,iMT,2WD,45.0,350.0,17.8,BS VI,215/60 R16,0.998,75
Venue,Hyundai,Compact SUV,5,998.0,3995,1770,1617,2500,4.0,Petrol,1.0L Kappa Turbo GDi,7 DCT,2WD,45.0,350.0,18.1,BS VI,215/60 R16,0.998,75
Venue,Hyundai,Compact SUV,5,1493.0,3995,1770,1617,2500,4.0,Diesel,1.5L U2 CRDi,6 MT,2WD,45.0,350.0,23.4,BS VI,215/60 R16,1.493,110
Venue N-Line,Hyundai,Compact SUV,5,1493.0,3995,1770,1617,2500,4.0,Petrol,1.0L Kappa Turbo GDi,7 DCT,2WD,45.0,350.0,18.1,BS VI,215/60 R16,1.493,110
Creta,Hyundai,SUV,5,1497.0,4300,1790,1635,2610,4.0,Petrol,1.5L MPi,IVT,2WD,50.0,433.0,16.76,BS VI,215/60 R17,1.497,110
Creta,Hyundai,SUV,5,1497.0,4300,1790,1635,2610,4.0,Petrol,1.5L MPi,6 MT,2WD,50.0,433.0,16.76,BS VI,215/60 R17,1.497,110
Creta,Hyundai,SUV,5,1353.0,4300,1790,1635,2610,4.0,Petrol,1.4L Kappa Turbo GDi,7 DCT,2WD,50.0,433.0,16.76,BS VI,215/60 R17,1.353,110
Creta,Hyundai,SUV,5,1493.0,4300,1790,1635,2610,4.0,Diesel,1.5L U2 CRDi,6 MT,2WD,50.0,433.0,21.35,BS VI,215/60 R17,1.493,110
Creta,Hyundai,SUV,5,1493.0,4300,1790,1635,2610,4.0,Diesel,1.5L U2 CRDi,6 AT,2WD,50.0,433.0,18.46,BS VI,215/60 R17,1.493,110
Alcazar,Hyundai,SUV,6,1999.0,4500,1790,1675,2760,4.0,Petrol,2.0L Mpi,6 MT,2WD,50.0,180.0,14.5,BS VI,215/55 R18,1.999,150
Alcazar,Hyundai,SUV,6,1999.0,4500,1790,1675,2760,4.0,Petrol,2.0L Mpi,6 AT,2WD,50.0,180.0,14.2,BS VI,215/55 R18,1.999,150
Alcazar,Hyundai,SUV,6,1493.0,4500,1790,1675,2760,4.0,Diesel,1.5L CRDi,6 MT,2WD,50.0,180.0,20.4,BS VI,215/55 R18,1.493,110
Alcazar,Hyundai,SUV,6,1493.0,4500,1790,1675,2760,4.0,Diesel,1.5L CRDi,6 AT,2WD,50.0,180.0,18.1,BS VI,215/55 R18,1.493,110
Alcazar,Hyundai,SUV,7,1999.0,4500,1790,1675,2760,4.0,Petrol,2.0L Mpi,6 MT,2WD,50.0,180.0,14.5,BS VI,215/55 R18,1.999,150
Alcazar,Hyundai,SUV,7,1999.0,4500,1790,1675,2760,4.0,Petrol,2.0L Mpi,6 AT,2WD,50.0,180.0,14.2,BS VI,215/55 R18,1.999,150
Alcazar,Hyundai,SUV,7,1493.0,4500,1790,1675,2760,4.0,Diesel,1.5L CRDi,6 MT,2WD,50.0,180.0,20.4,BS VI,215/55 R18,1.493,110
Alcazar,Hyundai,SUV,7,1493.0,4500,1790,1675,2760,4.0,Diesel,1.5L CRDi,6 AT,2WD,50.0,180.0,18.1,BS VI,215/55 R18,1.493,110
Sonet,Kia,Compact SUV,5,1197.0,3995,1790,1610,2500,4.0,Petrol,Smartstream G1.2 ,5 MT,2WD,45.0,392.0,18.4,BS VI,195/65 R15,1.197,110
Sonet,Kia,Compact SUV,5,998.0,3995,1790,1610,2500,4.0,Petrol,G1.0 T - GDi,6 iMT,2WD,45.0,392.0,18.2,BS VI,195/65 R15,0.998,75
Sonet,Kia,Compact SUV,5,998.0,3995,1790,1610,2500,4.0,Petrol,G1.0 T - GDi,7 DCT,2WD,45.0,392.0,18.3,BS VI,195/65 R15,0.998,75
Sonet,Kia,Compact SUV,5,1493.0,3995,1790,1610,2500,4.0,Diesel,1.5L CRDi WGT,6 MT,2WD,45.0,392.0,24.1,BS VI,195/65 R15,1.493,110
Sonet,Kia,Compact SUV,5,1493.0,3995,1790,1610,2500,4.0,Diesel,1.5L CRDi VGT,6 AT,2WD,45.0,392.0,19.0,BS VI,195/65 R15,1.493,110
Seltos,Kia,SUV,5,1497.0,4315,1800,1620,2610,4.0,Petrol,Smartstream G1.5 ,6 MT,2WD,50.0,433.0,16.5,BS VI,215/60 R17,1.497,110
Seltos,Kia,SUV,5,1497.0,4315,1800,1620,2610,4.0,Petrol,Smartstream G1.5 ,6  iMT,2WD,50.0,433.0,16.5,BS VI,215/60 R17,1.497,110
Seltos,Kia,SUV,5,1497.0,4315,1800,1620,2610,4.0,Petrol,Smartstream G1.5 ,IVT,2WD,50.0,433.0,16.5,BS VI,215/60 R17,1.497,110
Seltos,Kia,SUV,5,1353.0,4315,1800,1620,2610,4.0,Petrol,Smartstream G1.4 T - GDi ,6 MT,2WD,50.0,433.0,16.4,BS VI,215/60 R17,1.353,110
Seltos,Kia,SUV,5,1353.0,4315,1800,1620,2610,4.0,Petrol,Smartstream G1.4 T - GDi ,7 DCT,2WD,50.0,433.0,16.5,BS VI,215/60 R17,1.353,110
Seltos,Kia,SUV,5,1493.0,4315,1800,1620,2610,4.0,Diesel,1.5L CRDi VGT,6 MT,2WD,50.0,433.0,21.0,BS VI,215/60 R17,1.493,110
Seltos,Kia,SUV,5,1493.0,4315,1800,1620,2610,4.0,Diesel,1.5L CRDi VGT,6  iMT,2WD,50.0,433.0,21.0,BS VI,215/60 R17,1.493,110
Seltos,Kia,SUV,5,1493.0,4315,1800,1620,2610,4.0,Diesel,1.5L CRDi VGT,6 AT,2WD,50.0,433.0,18.0,BS VI,215/60 R17,1.493,110
Carnival,Kia,MPV,7,2199.0,5115,1985,1740,3060,4.0,Diesel,2.2L CRDi VGT,8 AT,2WD,60.0,540.0,11.01,BS VI,235/60 R18,2.199,200
Carnival,Kia,MPV,8,2199.0,5115,1985,1740,3060,4.0,Diesel,2.2L CRDi VGT,8 AT,2WD,60.0,540.0,11.01,BS VI,235/60 R18,2.199,200
Carnival,Kia,MPV,9,2199.0,5115,1985,1740,3060,4.0,Diesel,2.2L CRDi VGT,8 AT,2WD,60.0,540.0,11.01,BS VI,235/60 R18,2.199,200
Carens,Kia,MUV,6,1353.0,4540,1800,1708,2780,4.0,Petrol,Smartstream G1.4 T-GDi,6 MT,2WD,45.0,216.0,16.2,BS VI,205/65 R16,1.353,110
Carens,Kia,MUV,6,1353.0,4540,1800,1708,2780,4.0,Petrol,Smartstream G1.4 T-GDi,7 DCT,2WD,45.0,216.0,16.5,BS VI,205/65 R16,1.353,110
Carens,Kia,MUV,7,1497.0,4540,1800,1708,2780,4.0,Petrol,Smartstream G1.5,6 MT,2WD,45.0,216.0,15.7,BS VI,205/65 R16,1.497,110
Carens,Kia,MUV,6,1493.0,4540,1800,1708,2780,4.0,Diesel,1.5L CRDi VGT,6 MT,2WD,45.0,216.0,21.3,BS VI,205/65 R16,1.493,110
Carens,Kia,MUV,6,1493.0,4540,1800,1708,2780,4.0,Diesel,1.5L CRDi VGT,6 AT,2WD,45.0,216.0,18.4,BS VI,205/65 R16,1.493,110
Carens,Kia,MUV,7,1353.0,4540,1800,1708,2780,4.0,Petrol,Smartstream G1.4 T-GDi,6 MT,2WD,45.0,216.0,16.2,BS VI,205/65 R16,1.353,110
Carens,Kia,MUV,7,1353.0,4540,1800,1708,2780,4.0,Petrol,Smartstream G1.4 T-GDi,7 DCT,2WD,45.0,216.0,16.5,BS VI,205/65 R16,1.353,110
Carens,Kia,MUV,7,1493.0,4540,1800,1708,2780,4.0,Diesel,1.5L CRDi VGT,6 MT,2WD,45.0,216.0,21.3,BS VI,205/65 R16,1.493,110
Harrier,Tata,SUV,5,1956.0,4598,1894,1706,2741,4.0,Diesel,Kryotech 2.0L Turbocharged,6 MT,2WD,50.0,425.0,16.35,BS VI,235/70 R16,1.956,150
Harrier,Tata,SUV,5,1956.0,4598,1894,1706,2741,4.0,Diesel,Kryotech 2.0L Turbocharged,6 AT,2WD,50.0,425.0,14.6,BS VI,235/70 R16,1.956,150
Safari,Tata,SUV,6,1956.0,4661,1894,1786,2741,4.0,Diesel,Kryotech 2.0L Turbocharged,6 MT,2WD,50.0,447.0,16.14,BS VI,235/60 R18,1.956,150
Safari,Tata,SUV,6,1956.0,4661,1894,1786,2741,4.0,Diesel,Kryotech 2.0L Turbocharged,6 AT,2WD,50.0,447.0,14.08,BS VI,235/60 R18,1.956,150
Safari,Tata,SUV,7,1956.0,4661,1894,1786,2741,4.0,Diesel,Kryotech 2.0L Turbocharged,6 MT,2WD,50.0,447.0,16.14,BS VI,235/60 R18,1.956,150
Safari,Tata,SUV,7,1956.0,4661,1894,1786,2741,4.0,Diesel,Kryotech 2.0L Turbocharged,6 AT,2WD,50.0,447.0,14.08,BS VI,235/60 R18,1.956,150
